date,symbol,side,lots,contract_size,entry_price,exit_price,sl_price,tp_price,pnl_usd,result,hold_time_min,opened_at,closed_at
2026-06-02,BTC/USD:USD,buy,1,0.001,70907.7,70223.7,70223.7,73061.0,-0.684,loss,141.4,2026-06-02 03:52:47 UTC,2026-06-02 06:14:08 UTC
2026-06-03,ETH/USD:USD,buy,1,0.01,1855.6,1846.6,1846.57,1874.41,-0.09,loss,40.0,2026-06-03 14:50:09 UTC,2026-06-03 15:30:06 UTC
2026-06-04,BTC/USD:USD,buy,30,0.001,64209.6,63262.0,63262.0,67500.0,-28.428,loss,139.9,2026-06-04 06:10:14 UTC,2026-06-04 08:30:06 UTC
2026-06-15,ETH/USD:USD,buy,25,0.01,1775.05,1825.55,1755.0,1825.0,12.625,win,30.6,2026-06-15 12:59:28 UTC,2026-06-15 13:30:06 UTC
2026-06-25,ETH/USD:USD,buy,2,0.01,1615.0,1617.95,1600.0,1645.0,0.059,win,11.4,2026-06-25 03:03:39 UTC,2026-06-25 03:15:05 UTC
2026-06-25,ETH/USD:USD,sell,1,0.01,1579.15,1568.05,1620.0,1570.0,0.111,win,9.5,2026-06-25 13:50:36 UTC,2026-06-25 14:00:06 UTC
2026-06-26,ETH/USD:USD,buy,1,0.01,1562.75,1545.0,1545.0,1580.0,-0.1775,loss,552.8,2026-06-25 17:10:27 UTC,2026-06-26 02:23:13 UTC
